Lambda1,Lambda2,Lambda3
-0.6184431271800656,-0.5546948685788855,2.0320428375738393
-0.5859099133534804,-0.5243752569522394,2.05853915177573
-0.5515711645004346,-0.4926307270468135,2.0893809178176843
-0.5159235859420138,-0.4598792502010089,2.1245389412065503
-0.4794968084403559,-0.4265677139027031,2.163965025325335
-0.4428365577670507,-0.3931576261573931,2.2075792516022172
-0.4064854125969825,-0.3601086666322028,2.2552544997554587
-0.37096249595820857,-0.3278612983822133,2.3067996087880682
-0.33674374150026387,-0.29681987886702227,2.3619429466482944
-0.3042444619795242,-0.2673377468194309,2.4203182675438
-0.27380577036068715,-0.23970558218183471,2.481454528787505
-0.24568597216728463,-0.2141439589558804,2.5447708261583486
-0.22005743847364376,-0.19080050450647254,2.609576881604107
-0.19700880874514073,-0.16975154449996585,2.6750787385257557
-0.1765517971417983,-0.1510076525160322,2.7403886907106245
-0.15863148669264374,-0.13452221143582857,2.8045382486537136
-0.14313883462779875,-0.12020195880704743,2.8664935343184337
-0.12992415970158436,-0.10791851498468309,2.925174623676493
-0.1188105776574541,-0.09752003557501943,2.9794851206886865
-0.10960661923731778,-0.08884233287664219,3.0283658372120996
-0.10211754059316382,-0.0817190249219288,3.0708910309201376
-0.09615507425502821,-0.07599046064414018,3.106408207747878
-0.09154554866519785,-0.07151131754523099,3.134147547827515
-0.08813642258920017,-0.06815686950956834,3.1548968549033387
-0.08580134535079537,-0.0658279812712953,3.1696441371423805
-0.08444387730536913,-0.06445491074638923,3.1785038060209154
-0.08400000000000006,-0.06400000000000007,3.1814797021286565
-0.08443952278037224,-0.06445931796504673,3.1784324403718975
-0.0857664601928707,-0.06586328933293388,3.1690818776908647
-0.08801841795474015,-0.06827630884678745,3.153055518621555
-0.5626259446915093,-0.5620140234321848,2.466351165512414
-0.5464799407857044,-0.5404621745359507,2.4483882437733926
-0.5274066128809887,-0.5158675125440547,2.430500712932778
-0.5060442363578584,-0.4888724609170992,2.4135515744829616
-0.4830667193548973,-0.4601627416045074,2.398220424842516
-0.4591463857224604,-0.43042984342481516,2.384960179683062
-0.4349147639665602,-0.4003304175530964,2.3739549827962514
-0.41092456073107436,-0.3704457883528274,2.365083977948995
-0.3876166579227577,-0.3412456783568062,2.3579017276691685
-0.36529603237330477,-0.31306056013471406,2.3516503020237542
-0.3441197615948125,-0.28606646994562795,2.345317988450607
-0.3240987961702131,-0.26028461338073017,2.3377514687630163
-0.3051132714573333,-0.23559597271485389,2.327294228457646
-0.28693929201305046,-0.21176895914549754,2.309105306007914
-0.2692838151749705,-0.18849653180904402,2.2880238970158113
-0.2518237355337447,-0.16543849054328696,2.263944349058689
-0.2342454978272268,-0.14226485196638824,2.2369819004762683
-0.21628229414718253,-0.11869705912354464,2.207446303916147
-0.19774680428884553,-0.09454485102730281,2.1758081508371445
-0.1785582309402008,-0.06973756536793041,2.142666698983603
-0.1587628862642777,-0.04434922322177781,2.108723239822007
-0.1385477380395802,-0.018616834254118864,2.074760234010323
-0.11824614918329301,0.007049051164500164,2.04110932747436
-0.09833465011935594,0.03206335926262477,2.005699183003874
-0.07941916232597673,0.055677968079033024,1.972966434442996
