Lambda1,Lambda2,Lambda3,Lambda4,Lambda5,Lambda6
-0.09778201467272984,0.031616479797606345,2.001862924273559,2.013771726972181,3.609720209796926,3.7510275069658845
-0.07871240682935926,0.055044102832524144,1.9725754173099266,1.981630885691009,3.643881461253251,3.786693439296215
-0.06143761447803095,0.07628358305735605,1.9469407740576352,1.9532057768066915,3.6727331877353158,3.816719388019761
-0.04673813182641891,0.0943744420882758,1.9258439933742546,1.9296038669994522,3.695724391639537,3.8405968391794323
-0.03540361549524894,0.10833513292103603,1.9100839043273823,1.9118423263295847,3.712435589196887,3.857932759615374
-0.028169273754758188,0.11724778598161609,1.9003169890944616,1.900772854827453,3.722574776296679,3.8684477017660477
-0.02564957438928328,0.12035042561071718,1.8969999999999998,1.8969999999999998,3.7259724748049043,3.8719724748049034
-0.028279562217771573,0.11712007952124365,1.9003412480217408,1.900809119597458,3.7225761997397013,3.868443713054434
-0.036274615299941956,0.10732815897764088,1.9102710620365764,1.9121223023602216,3.712444570425485,3.857898585026713
-0.04961631809586336,0.09105491136995278,1.9264388180817147,1.9304951895407807,3.6957412324383876,3.840468833363271
-0.06806598584504311,0.06866135727277357,1.9482378219819771,1.9551560484312964,3.6727287374156754,3.816374306982809
-0.09120072797397835,0.04072929103195858,1.9748526952867922,1.9850762821344397,3.6437625284320605,3.7859161342856487
-0.11846257397699148,0.007986668389005816,2.0053195535977393,2.019054808791311,3.609285187300417,3.7494696848599878
-0.14921044240690112,-0.028764998510968164,2.0385885215337094,2.055799446259228,3.569821104150173,3.7074774727716266
-0.1827669899208279,-0.06871033861589945,2.0735803806758013,2.0939941822520316,3.525971710955714,3.6604421638368727
-0.2184559174994358,-0.11106273916001169,2.1092326841878357,2.1323480155609595,3.4784113489379687,3.6089198586505185
-0.25562855419978436,-0.15509068385660063,2.1445339187582713,2.1696262137525797,3.4278836620266357,3.5535138273641294
-0.2936806899117437,-0.2001310994435676,2.1785464645955943,2.204667699816417,3.3751980367598398,3.494868862448839
-0.3320616305667639,-0.24559355056676402,2.210420156124985,2.2363935402855315,3.3212249119619535,3.4336663761224986
-0.37027762347688775,-0.2909586300016014,2.2393985290043332,2.2638121999341725,3.2668876073859447,3.3706202717910703
-0.40789152889624286,-0.3357730452848532,2.2648197821024367,2.2860281024359823,3.213146612580388,3.306473416525324
-0.4445201836256317,-0.379643086050853,2.286114445967671,2.302261117445187,3.1609703923619943,3.2419941614142864
-0.4798304777644067,-0.4222275159369498,2.3028019901271284,2.311884682966575,3.111286049925374,3.1779717045922817
-0.5135348170245293,-0.46323048770747466,2.3144866028882665,2.31448926270538,3.06490642618639,3.115208095686331
-0.545386385995422,-0.5023947971607728,2.3099459884593356,2.3208746660656345,3.0224405158467698,3.0545034270751197
-0.5751744527379635,-0.5394956261269425,2.2985032852847036,2.3217627835627757,2.9842104563850347,2.996629784717986
-0.6027198445356003,-0.5743348386616893,2.2807882155478274,2.3170934040770743,2.942290202611264,2.950210385266602
-0.6278706613734393,-0.6067358584747865,2.2577784284071196,2.30698443042198,2.892063275124361,2.920134474240568
-0.650498263934944,-0.6365391498048397,2.2306922144318877,2.2917788833741435,2.846343338147028,2.893470892959181
-0.6704935664382943,-0.6635983351632315,2.2008504211495756,2.2720755908956805,2.8052967568415266,2.869626695312567
-0.6877770027966393,-0.6877636741850037,2.1695508134493573,2.248720620518961,2.768857408941336,2.848040544622574
-0.7089462781082535,-0.7022289257331037,2.137981433535885,2.222749926540106,2.736771067570789,2.828256912950161
-0.7269832517253904,-0.713820425328054,2.107176644782738,2.1952970776231946,2.708675026507285,2.809958285745078
-0.741770368137491,-0.7224781777241434,2.0780056198981547,2.1674953860545307,2.6841838872287704,2.7929658437984948
-0.7531958789600237,-0.7281499593326649,2.0511800067644406,2.140400479792375,2.662955732807978,2.7772221254632714
-0.7611554504719095,-0.7307910706359383,2.027270369453954,2.1149441045241306,2.64472818064531,2.7627662955514585
-0.7655549834775234,-0.7303651086769737,2.006725105334668,2.0919160476404137,2.6293276953108196,2.749708512417114
-0.7663146533347956,-0.7268458694533609,1.9898887592763217,2.0719650059877597,2.616661582013167,2.738206612606041
-0.7633741093741743,-0.720220434234469,1.9770186195933694,2.055609509112941,2.6067017318039842,2.7284462964632614
-0.7566986879881005,-0.7104934101351177,1.9682994751260878,2.0432528321762913,2.599466277820286,2.720624912723472
