(-1.256105886826673+0j),(4.127105886826673+0j),(2.9290000000000003+0j)
(-1.5182520999714786-2.3033632852540682e-17j),(3.8457507299004887+5.777105517084504e-17j),(2.7492294532241157-3.473742231830454e-17j)
(4.5095325353931734-6.003050658865908e-17j),(1.0750319922912368+2.609110665382259e-17j),(-0.5983815815724378-7.708290252767914e-17j)
(-0.696779557103121-4.378402815833166e-17j),(4.071092582138242-1.7746942929179618e-16j),(1.885766371495924+5.472000375635424e-17j)
(4.5101616440009735-3.5674778865677595e-16j),(1.1225107993791346-6.503598963671432e-17j),(-0.6337055997034946-2.2305431556572344e-17j)
(-0.5230382021623358+6.859287690795519e-17j),(3.9382522808799516+2.1006417983750282e-17j),(1.8198942008692562+4.377566418052435e-16j)
(4.376795709789839+8.714048545794197e-17j),(-0.651857028356518+1.6027325505979247e-16j),(1.3100209916734282-2.5369135592703127e-17j)
(-0.40462923302775-1.358823806544423e-18j),(3.7268153289707713-1.7843729479499832e-17j),(1.8675875782285467+1.1634706794074536e-16j)
(4.149357934788633+1.4079686461157804e-16j),(-0.7181835711591037+1.1460476204272986e-16j),(1.656345734461041-3.335702172927653e-17j)
(-0.35527397227241153-1.7002899835232962e-17j),(3.6613631569498777+4.8471392033686857e-17j),(1.826351460702395-2.8126867273911427e-16j)
(-0.8275217366050118+7.340377598887319e-18j),(3.9059207922646246-2.247142718767448e-16j),(2.068550701807746-4.6707106471737835e-18j)
(3.8629565004345148-1.2857254281008172e-16j),(-0.3626065335992101+1.0479893111854938e-17j),(1.5733382203596622+7.07034723571137e-18j)
(-0.9156378853331573+1.0668780151191562e-16j),(3.798197140107757-1.04362694335632e-16j),(2.3197235357322965-2.3251071762838458e-18j)
(4.16705764007035-5.3544564917398893e-17j),(-0.4289744586351557+6.659397083271462e-17j),(1.286274022887708-1.3049405915315774e-17j)
(-0.921323073830596-1.2315545189699679e-17j),(3.9156100443296653+3.879507689236529e-17j),(2.2490222685771513+2.903161952859221e-17j)
(4.411051737359882-1.1008148493633977e-16j),(1.1162271128971006-8.9356762763033e-18j),(-0.5337286835560506+7.994858750127563e-18j)
(-0.8226468384895591+5.2947382192925754e-17j),(4.05802248803974+7.069605696278828e-17j),(2.027083322381183-1.2621136693198497e-17j)
(4.523213616353687-1.3491757132852797e-16j),(1.0757878808539532-7.821606714734816e-17j),(-0.6120499601436936-8.910966449155218e-18j)
(-0.6526059663795959+6.315468935804852e-17j),(4.053327838867028+1.5700038080841205e-16j),(1.855476640106776+3.9046759337737524e-16j)
(4.488953520846306-1.2948305581820688e-16j),(-0.6367509326811376-7.491982715648857e-17j),(1.1535762952821194-1.7641721950335803e-17j)
(-1.2201971100510292+2.4470089115378803e-18j),(4.093916397212335+1.076270116715643e-16j),(2.8864834963074792-4.4314092797064913e-16j)
(-1.593165356007535-2.8612339149449946e-17j),(4.266222749624788-1.957862053269882e-17j),(2.3941885173163966-2.1197979356923442e-17j)
(-1.0966848629790187-3.496521110565035e-17j),(4.027277226456227+9.017751399397958e-17j),(2.797267212689519+2.988483429285188e-19j)
(-1.3746363769132013+3.7427373790286415e-17j),(4.086862952732437-1.727720894336441e-17j),(2.418196156408993-4.0872822346572634e-16j)
(-0.8186598103513074+3.5932282708277227e-17j),(3.8992461333869093+1.9446985630837522e-17j),(2.5562115454038534+1.318828921430789e-19j)
