lambda1,lambda2,lambda3
-0.4566668084005524,2.4813862467299015,3.788605989524713
-0.4547291880050226,2.482952806847223,3.785253668813298
-0.4525748607941289,2.484697676810735,3.7815049373464995
-0.4502133627577458,2.486620875206206,3.7773691625409334
-0.4476549761836209,2.4887218631727697,3.7728570170969027
-0.4449106920007254,2.490999500795355,3.7679804850972785
-0.44199216973292516,2.493452001515375,3.762752867696795
-0.43891169513654743,2.496076884744565,3.757188788290237
-0.4356821356052925,2.4988709269205622,3.7513041970042647
-0.4323168934370284,2.501830111306532,3.7451163743049722
-0.4288298570687763,2.5049495769119865,3.738643933450174
-0.42523535039877125,2.5082235669996313,3.73190682144036
-0.42154808032757823,2.5116453777447703,3.7249263180336194
-0.41778308266376873,2.5152073077311345,3.7177250322860345
-0.4139556665533193,2.518900609101018,3.710326895958703
-0.41008135760548237,2.5227154413291912,3.7027571529945544
-0.40617583990133815,2.5266408287595796,3.6950423441119993
-0.40225489708396145,2.5306646232305505,3.6872102853884865
-0.39833435274133994,2.5347734733167866,3.679290039516872
-0.39443001030423197,2.538952801930095,3.6713118782144503
-0.3905575926910628,2.5431867942416284,3.6633072340540886
-0.38673268194046095,2.5474583981056864,3.655308639777782
-0.38297065907882943,2.5517493393679795,3.6473496529571046
-0.37928664447552063,2.556040154612555,3.6394647636987396
-0.37569543894129287,2.560310244020574,3.63168928297755
-0.3722114658270068,2.564537947054797,3.624059209140151
-0.3688487143786305,2.568700643615734,3.6166110701890455
-0.3656206846018102,2.572774883105248,3.6093817396646664
-0.36254033388439566,2.5767365434456835,3.602408224325593
-0.35962002561851214,2.5805610215040495,3.595727422418922
-0.3568714800552531,2.584223455534191,3.5893758521608383
-0.3543057276147692,2.5876989791602267,3.583389351126862
-0.3519330648629208,2.5909630050849612,3.5778027485791
-0.3497630133525602,2.593991535146446,3.57264951430541
-0.34780428151355425,2.5967614916238,3.5679613892533784
-0.3460647297606307,2.59925106290367,3.563768005016728
-0.3445513389725074,2.6014400548886494,3.5600965009463836
-0.34327018247970875,2.6033102380122624,3.5569711491587714
-0.3422264016818934,2.6048456785901295,3.554412998832711
-0.34142418539899366,2.606033042646536,3.5524395517597616
-0.3408667530435843,2.6068618604456555,3.5510644810063337
-0.3405563416852577,2.607324740811026,3.5502974036746107
-0.34049419706096273,2.6074175259483794,3.550143717101172
-0.34068056856868073,2.6071393798254507,3.550604505477022
-0.34111470826511603,2.60649280605516,3.551676520963352
-0.3417948738715644,2.6054835944541734,3.5533522401351245
-0.3427183357755469,2.6041206987434005,3.5556199932735764
-0.343881387999142,2.60241605094723,3.5584641609217504
-0.3452793630884204,2.6003843206877866,3.561865429461168
-0.3469066508615748,2.5980426295696297,3.5658010954518926
-0.34875672093666354,2.5954102320966883,3.5702454072150784
-0.3508221489431217,2.59250817502893,3.575169931654707
-0.35309464630442783,2.5893589468218736,3.580543934562836
-0.3555650934628075,2.5859861279100724,3.58633476351812
-0.35822357640046537,2.582414051248671,3.59250822381808
-0.3610594262960356,2.578667480883248,3.5990289395135897
-0.3640612621395152,2.5747713145404485,3.6058606933764557
-0.3672170361145023,2.5707503144621366,3.6129667413861837
-0.37051408154295745,2.566628869054936,3.6203100989593637
-0.3739391631753494,2.5624307864715656,3.6278537975882195
-0.3774785295980605,2.5581791200239166,3.6355611117602717
-0.38111796752051447,2.5538960243655904,3.643395756983953
-0.3848428576967812,2.5496026406668353,3.6513220604521135
-0.388638232230602,2.545319008515579,3.6593051063586715
-0.3924888330089321,2.5410640019837163,3.6673108581744773
-0.39637917100721914,2.536855287163122,3.6753062603212268
-0.40029358620981803,2.532709298466271,3.6832593216920584
-0.4042163078912535,2.528641231069724,3.6911391833862877
-0.40813151500802625,2.5246650470268373,3.6989161728818916
-0.412023396456821,2.520793492765355,3.7065618466858825
-0.41587621096254984,2.51703812589755,3.714049023298522
-0.4196743463689032,2.513409349490821,3.7213518081162853
-0.423402378114652,2.5099164521647452,3.728445611690848
-0.42704512669051903,2.5065676525894416,3.73530716256428
-0.43058771388398615,2.503370147154909,3.7419145157181797
-0.43401561763250845,2.500330159759331,3.7482470575094102
-0.4373147253191605,2.497452992824912,3.7542855078180133
-0.44047138535836833,2.4947430787925287,3.76001192000382
-0.44347245693307596,2.4922040314720086,3.765409679156358
-0.44630535775790137,2.4898386967342105,3.770463499026677
-0.4489581097558229,2.487649202125614,3.775159417947978
-0.4514193825480415,2.485637005067161,3.779484793983133
-0.45367853466814534,2.483802939368247,3.7834282994794735
-0.4557256524222102,2.4821472598452754,3.7869799151631804
-0.45755158632591536,2.480669684883403,3.790130923865864
-0.4591479850581552,2.479369436821422,3.792873903943115
-0.46050732687798435,2.4782452800738333,3.7952027224178
-0.46162294845761875,2.4772955569325914,3.797112527858672
-0.46248907108935755,2.476518221014028,3.798599742986632
-0.4631008242278418,2.475910868335524,3.799662056985782
-0.4634542663318324,2.4754707660216306,3.8002984174838272
-0.4635464029711427,2.4751948786516658,3.800509022155606
-0.46337520216494865,2.475079892270735,3.800295309894215
-0.4629800161192766,2.475319446547679,3.7996605695715977
-0.46223954491479236,2.4753181019401698,3.7986068397172867
-0.4612322290152936,2.4754592581324437,3.7971443918878327
-0.45995845684502384,2.475735263263137,3.7952815793466885
-0.4584196409264611,2.476138322306289,3.793027921682626
-0.45661822675984903,2.4766605301333184,3.7903940803162492
-0.4545576985289234,2.477293903093736,3.7873918323152114
-0.4522425815462851,2.478030409198693,3.784034042347744
-0.44967844134700263,2.478861996987499,3.780334632603433
-0.4468718793342227,2.4797806231515915,3.776308550510556
-0.4438305248752996,2.4807782789840775,3.7719717340809593
-0.44056302374227474,2.4818470157147408,3.7673410747165366
-0.4370790227861495,2.4829789687812944,3.762434377316333
-0.4333891507309704,2.4841663810770416,3.7572703175304114
-0.4295049949715422,2.4854016252034574,3.751868396016093
-0.4254390742579672,2.4866772247431497,3.7462488895645736
-0.42120480715164976,2.487985874554706,3.740432798981365
-0.41681647614136047,2.489320460075971,3.7344417936228345
-0.4122891873147104,2.490674075606536,3.728298152513776
-0.4076388254907111,2.4920400415240263,3.7220247019972925
-0.4028820047331661,2.4934119203724006,3.7156447498987957
-0.3980360141829514,2.494783531744342,3.709182016220426
-0.3931187591704771,2.4961489658644913,3.702660560420623
-0.3881486975977241,2.497502595766234,3.696104705375786
-0.38314477161286525,2.4988390879428852,3.6895389581664677
-0.3781263346396518,2.5001534113449195,3.6829879278788464
-0.3731130738686427,2.501440844589434,3.676476240662567
-0.3681249283678358,2.502696981247057,3.670028452337621
-0.3631820030262616,2.5039177330757196,3.6636689588944793
-0.35830447860502923,2.505099331081269,3.6574219052823196
-0.3535125182357148,2.5062383243020196,3.6513110929282924
-0.3488261707749734,2.5073315762389194,3.6453598864752443
-0.3442652714955955,2.508376258884986,3.639591120264584
-0.3398493406668364,2.5093698443473786,3.634027005124052
-0.3355974806489841,2.510310094101988,3.6286890360455453
-0.3315282721970248,2.511195045973431,3.623597901355158
-0.32765967073408997,2.5120229989911858,3.6187733939855713
-0.3240089034148898,2.5127924963336836,3.6142343254592904
-0.3205923678505185,2.513502306634336,3.6099984431802703
-0.31742553340663054,2.5141514039840955,3.6060823516114953
-0.3145228460150601,2.514738947021526,3.6025014378876716
-0.3118976374525466,2.515264257550425,3.5992698023768237
-0.3095620400378209,2.515726799163997,3.5964001946630937
-0.3075269076785943,2.5161261563806305,3.5939039553773453
-0.3058017441622981,2.516462014807241,3.5917909642535424
-0.30439463952848156,2.5167341428401224,3.5900695947389503
-0.30331221528682745,2.516942375389395,3.5887466754360644
-0.3025595791539372,2.517086600071307,3.587827458605199
-0.30214028987560854,2.517166746253686,3.587315595909299
-0.3020563325817469,2.517182777265479,3.587213121537056
-0.30230810499047933,2.5171346859942907,3.5875204427971608
-0.3028944146400139,2.5170224939994443,3.588236338234619
-0.30381248718411036,2.5168462541663428,3.589357963279272
-0.30505798564364384,2.516606056825062,3.5908808633960616
-0.306625040365975,2.516302039156547,3.592798994665329
-0.30850628930906154,2.5159343976175887,3.5951047516789343
-0.3106929281418937,2.515503403034673,3.597789002593581
-0.3131747695394853,2.5150094179498987,3.6008411311364164
-0.31594031095184444,2.5144529157515567,3.6042490853096028
-0.3189768100437597,2.5138345010890983,3.6079994324909537
-0.322270366937279,2.5131549310573575,3.6120774205775783
-0.3258060123419007,2.512415136637477,3.6164670447699425
-0.32956780062884794,2.5116162439007823,3.621151119546477
-0.3335389068948835,2.510759594514611,3.6261113553350386
-0.33770172706689444,2.509846765133493,3.631328439348901
-0.34203798011950853,2.508879585312203,3.636782120022968
-0.3465288115125982,2.507860153636005,3.6424512944615772
-0.3511548970016963,2.5067908518252024,3.6483140982936435
-0.3558965460299804,2.5056743566329693,3.654347997324735
-0.36073380397337884,2.5045136494151863,3.660529880378684
-0.36564655257853,2.5033120233066066,3.6668361527340125
-0.37061460800448764,2.502073087987567,3.6732428295817074
-0.37561781595177046,2.5008007720686534,3.6797256289602376
-0.38063614343434476,2.499499323156643,3.6862600636600606
-0.38564976682062013,2.4981733056931783,3.69282153163188
-0.3906391558367417,2.496827596678633,3.69938540447936
-0.39558515328870886,2.4954673794072066,3.705927113666592
-0.4004690503184923,2.4940981353466647,3.7124222341217785
-0.40527265706246346,2.49272563429766,3.7188465649703457
-0.40997836862826653,2.4913559229641953,3.7251762071817915
-0.41456922634821475,2.48999531205941,3.731387637963955
-0.41902897430370994,2.488650362060191,3.737457781785414
-0.4233421111459962,2.487327867711106,3.7433640779506328
-0.4274939372642035,2.48603484136337,3.749084544692799
-0.4314705973723157,2.4847784952187455,3.754597839785824
-0.43525911860287697,2.4835662225320165,3.7598833177094613
-0.4388474442073927,2.482405577809269,3.7649210834299183
-0.4422244629718094,2.4813042560232526,3.769692042882865
-0.44538003446082797,2.4802700708517023,3.7741779502663784
-0.44830501020740354,2.479310931929995,3.7783614522685585
-0.45099125096414766,2.478434821096002,3.7822261293683375
-0.45343164013189075,2.4776497675926787,3.7857565343589505
-0.45562009347782,2.47696382218275,3.7889382282517894
-0.4575515652516158,2.476385030119955,3.7917578137243155
-0.4592220508034988,2.4759214029127725,3.7942029662797383
-0.46062858580300325,2.4755808888090796,3.7962624632884836
-0.4617692421523216,2.4753713419242986,3.7979262110824537
-0.462643120683139,2.4753004899307918,3.79918527027293
-0.4632503407213249,2.4753759002227884,3.800031879461914
-0.46359202660015575,2.4756049444691066,3.800459477514921
-0.4636702911994242,2.4759947614651603,3.800462724560927
-0.46348821658585937,2.476552218196379,3.8000375218822993
-0.4630498318290408,2.477283869027418,3.7991810308543106
-0.4623600880671322,2.4781959129353033,3.7978916910900646
-0.4614248308980164,2.4792941487101325,3.796169237942478
-0.46025077017398064,2.4805839280545463,3.794014719509963
-0.4588454472819064,2.4820701065226993,3.791430513286715
