Alpha,Energy
0.18,-1.109957661102582
0.18,-1.1067246916149893
0.18,-1.0868281201770706
0.18,-1.0865627688861685
0.18,-1.026109550626462
0.18,-0.9880811491442638
0.18,-0.9794639319817611
0.18,-0.9763047047144295
0.18,-0.9636245941451747
0.18,-0.829092367880073
0.18,-0.8124111477200785
0.18,-0.7982376022300955
0.18,-0.7813661833965136
0.18,-0.7694781517554387
0.18,-0.7050564907463643
0.18,-0.6922368453231363
0.18,-0.6782470658479882
0.18,-0.66879910104415
0.18,-0.6022215464726424
0.18,-0.5923408031757799
0.18,-0.5850612909414007
0.18,-0.5788118467416759
0.18,-0.5720769574694152
0.18,-0.457738934796585
0.18,-0.457074505729524
0.18,-0.4420301057469909
0.18,-0.4415490560699713
0.18,-0.4155320041262767
0.18,-0.41224194088740646
0.18,-0.39885107808010023
0.18,-0.3988462465009995
0.18,-0.3155319701173889
0.18,0.9771259471111765
0.18,0.9786118642528415
0.18,0.9824236145907982
0.18,0.9921132056217326
0.18,1.0013038903482023
0.18,1.0037242892255196
0.18,1.0065272685262552
0.18,1.0080534655180442
0.18,1.0738853953856267
0.18,1.6492613462872718
0.18,1.6790654572148507
0.18,1.6831084396264062
0.18,1.6863249792357713
0.18,1.6938126150022301
0.18,1.7045736397993343
0.18,1.757656163943322
0.18,1.7653172200352583
0.18,1.7710988388855287
0.18,1.7870098276671675
0.18,1.801467072229774
0.18,1.8095299521252677
0.18,1.8148844021518904
0.18,1.8179862896005012
0.18,1.8314521164690916
0.18,1.832716789559961
0.18,1.8504632462836206
0.18,1.8504950917224459
0.18,1.869519438275623
0.18,1.8893595447611202
0.18,1.8917593620170219
0.18,1.9076718058787432
0.18,1.907703227032486
0.18,2.018993618437011
0.18,2.029605029738431
0.18,2.0315072762140662
0.18,2.03752393290739
0.18,2.0421274893838355
0.18,2.047439499940067
0.18,2.0608235933989945
0.18,2.064669654303865
0.18,2.073847862796313
0.18,2.1075671500524304
0.18,2.1112179429054727
0.18,2.1173181686381075
0.18,2.118537476783163
0.18,2.1462568852899766
0.18,2.147367171952582
0.18,2.149851382792605
0.18,2.1509099552799467
0.18,2.1521588297354812
0.18,4.099956940437787
0.18,4.0999601586874235
0.18,4.099989099611327
0.18,4.100011748574202
0.18,4.100100324123629
0.18,4.100213285610286
0.18,4.100248913596933
0.18,4.100257851510659
0.18,4.120231006782575
0.18,4.264549082970771
0.18,4.322583849755136
0.18,4.32258385128684
0.18,4.324957024383327
0.18,4.325302878945121
0.18,4.327440365657333
0.18,4.3274414836298725
0.18,4.328619902312368
0.18,4.328622446756245
0.18,4.3460867313557765
0.18,4.373495192623017
0.18,4.373495192632816
