Alpha,Energy,p/151
0.019867549668874173,0.4014034885900283,3/151
0.019867549668874173,0.46253209313253013,3/151
0.019867549668874173,0.4625320931325308,3/151
0.019867549668874173,0.46963168119712395,3/151
0.019867549668874173,0.5095133259728688,3/151
0.019867549668874173,0.5212756631147542,3/151
0.019867549668874173,0.5212756631147544,3/151
0.019867549668874173,0.5776935669230326,3/151
0.019867549668874173,0.5776935669230342,3/151
0.019867549668874173,0.58446186134411,3/151
0.019867549668874173,0.6166464403042525,3/151
0.019867549668874173,0.6318440284970567,3/151
0.019867549668874173,0.6318440284970577,3/151
0.019867549668874173,0.6837841328404968,3/151
0.019867549668874173,0.6837841328404988,3/151
0.019867549668874173,0.6898375439933055,3/151
0.019867549668874173,0.716430960203906,3/151
0.019867549668874173,0.7335698294290681,3/151
0.019867549668874173,0.7335698294290686,3/151
0.019867549668874173,0.7812559330846944,3/151
0.019867549668874173,0.7812559330846944,3/151
0.019867549668874173,0.7862655247521325,3/151
0.019867549668874173,0.8089742339701121,3/151
0.019867549668874173,0.826896121768999,3/151
0.019867549668874173,0.8268961217689993,3/151
0.019867549668874173,0.8705429305974571,3/151
0.019867549668874173,0.8705429305974636,3/151
0.019867549668874173,0.8742546875853614,3/151
0.019867549668874173,0.8944333855186771,3/151
0.019867549668874173,0.912247741173969,3/151
0.019867549668874173,0.9122477411740143,3/151
0.019867549668874173,0.9520607650738793,3/151
0.019867549668874173,0.952060765074449,3/151
0.019867549668874173,0.9543250691394951,3/151
0.019867549668874173,0.9729713215167539,3/151
0.019867549668874173,0.9900310199396489,3/151
0.019867549668874173,0.9900310199413895,3/151
0.019867549668874173,1.0262062960658251,3/151
0.019867549668874173,1.0262062961289453,3/151
0.019867549668874173,1.026991668329212,3/151
0.019867549668874173,1.0447529506406366,3/151
0.019867549668874173,1.0606331111716878,3/151
0.019867549668874173,1.0606331112252316,3/151
0.019867549668874173,1.0927369883597466,3/151
0.019867549668874173,1.0933566482492965,3/151
0.019867549668874173,1.093356650517881,3/151
0.019867549668874173,1.109959460948509,3/151
0.019867549668874173,1.1244206733801287,3/151
0.019867549668874173,1.1244206746448573,3/151
0.019867549668874173,1.151992693584871,3/151
0.019867549668874173,1.153867424119702,3/151
0.019867549668874173,1.1538674400479794,3/151
0.019867549668874173,1.1687959210310572,3/151
0.019867549668874173,1.1817374573573365,3/151
0.019867549668874173,1.1817374804617575,3/151
0.019867549668874173,1.2051351708107674,3/151
0.019867549668874173,1.208069445354337,3/151
0.019867549668874173,1.2080696095144945,3/151
0.019867549668874173,1.2214840213846307,3/151
0.019867549668874173,1.2328998688540176,3/151
0.019867549668874173,1.2329001964765345,3/151
0.019867549668874173,1.2524864677713963,3/151
0.019867549668874173,1.2562626434067088,3/151
0.019867549668874173,1.2562642262614834,3/151
0.019867549668874173,1.268243963756634,3/151
0.019867549668874173,1.2781882935812738,3/151
0.019867549668874173,1.2781918978633027,3/151
0.019867549668874173,1.294310262970953,3/151
0.019867549668874173,1.2987033961654226,3/151
0.019867549668874173,1.2987162827607277,3/151
0.019867549668874173,1.3092667645159257,3/151
0.019867549668874173,1.317827192344492,3/151
0.019867549668874173,1.3178577040300143,3/151
0.019867549668874173,1.3307922289392573,3/151
0.019867549668874173,1.3355709581600554,3/151
0.019867549668874173,1.3356576022412228,3/151
0.019867549668874173,1.3446898285500255,3/151
0.019867549668874173,1.3519212768415754,3/151
0.019867549668874173,1.3521202089591517,3/151
0.019867549668874173,1.3620418588985848,3/151
0.019867549668874173,1.3668564148027738,3/151
0.019867549668874173,1.3672951008224532,3/151
0.019867549668874173,1.3743279265771755,3/151
0.019867549668874173,1.3802216465465291,3/151
0.019867549668874173,1.3811871655679822,3/151
