    p     	    q     	        p/q         	         y          	eigenvalue
    2     	    35    	         2/35        	0.05714285714285714 	[0.3801279914 0.4115947797 0.5131441571 0.5203442904 0.6297032687 0.6321290418 0.7378392952 0.7445251276 0.8175581499 0.8312469941 0.9115569387 0.9176834633 0.9620893241 0.9846804337 1.0390033858 1.0532926512 1.054914699  1.1031212409 1.1435458296 1.1492921924 1.1713973424 1.21224553   1.2499342992 1.2595843143 1.2809790487 1.3135487393 1.3437269805 1.353681323  1.3690131117 1.3894997601 1.4036803339 1.4110460839 1.4324735421 1.4356695414 1.4461267951]
    2     	    37    	         2/37        	0.05405405405405406 	[0.3765224911 0.4075691429 0.5030679308 0.5098065625 0.6158972599 0.6169956046 0.7189672925 0.725432068  0.7976979322 0.8097196007 0.8890907564 0.8943759167 0.9416511575 0.9603574109 1.0161491673 1.0270513939 1.0379315798 1.076927956  1.1164323187 1.1208065297 1.1399724672 1.1803231688 1.2171982009 1.225603425  1.24686117   1.2807672053 1.3125987139 1.3217395192 1.3390069232 1.3641818796 1.3859550988 1.3923607231 1.4017431609 1.4128382235 1.435792182  1.4365197781 1.4460880885]
    2     	    39    	         2/39        	0.05128205128205128 	[0.3732692691 0.4038804192 0.4939404801 0.5002625841 0.6031607859 0.6033043142 0.701638906  0.7078856226 0.7792344033 0.7898399527 0.8679438839 0.8728259013 0.9216969324 0.937725396  0.99472057   1.0029886832 1.0221642525 1.0530465309 1.0923893646 1.0967409533 1.1116793575 1.1514026472 1.18708068   1.1940377483 1.2147063915 1.2491237357 1.281498336  1.2903580373 1.3084628218 1.3352467397 1.3602087202 1.3691389649 1.3813524023 1.3976472808 1.4083611493 1.4148793964 1.4355898973 1.4374076373 1.4471588513]
    3     	    4     	         3/4         	        0.75        	[0.6745638531 0.8995961937 1.23         1.3798399531]
    3     	    5     	         3/5         	        0.6         	[0.6681304657 0.8020720438 0.9301278923 1.3324233825 1.4972462157]
    3     	    7     	         3/7         	0.42857142857142855 	[0.5885880439 0.6898908547 0.7901722249 1.2021174213 1.3160165712 1.3360508339 1.3991640502]
    3     	    8     	         3/8         	       0.375        	[0.5383372039 0.6546277939 0.8118413337 1.1095325206 1.1574864825 1.2812457876 1.3639642713 1.4509646065]
    3     	    10    	         3/10        	        0.3         	[0.5328158782 0.6059216677 0.6928199665 1.0040978196 1.047724074  1.1617025202 1.2462532304 1.370327667  1.3814016484 1.416935528 ]
    3     	    11    	         3/11        	 0.2727272727272727 	[0.5398519801 0.5863291704 0.6313785027 0.9916422347 1.0290254971 1.0845523537 1.1612068773 1.2898829929 1.3766277448 1.3956544837 1.4198481627]
    3     	    13    	         3/13        	0.23076923076923078 	[0.5246274524 0.5524693453 0.5875172128 0.9290155655 0.9572221093 0.9765993039 1.0771912831 1.2053731692 1.2882326037 1.3022673938 1.3416011947 1.4107051592 1.445178207 ]
    3     	    14    	         3/14        	0.21428571428571427 	[0.5137533315 0.5384968627 0.5763407492 0.8891110356 0.9049336112 0.9607016721 1.0747007021 1.166040959  1.1871593041 1.2629113867 1.3343075044 1.3980439454 1.4088413461 1.4286575898]
    3     	    16    	         3/16        	       0.1875       	[0.5020684197 0.514768014  0.5447373901 0.8444567877 0.8538804627 0.8933193618 1.0203895076 1.0983495235 1.0993527639 1.1924195618 1.2645539987 1.3261688821 1.3451919317 1.3739398786 1.4181916624 1.4442118538]
    3     	    17    	         3/17        	0.17647058823529413 	[0.4969802647 0.5046276367 0.5310252613 0.8311841274 0.8375438123 0.8531134682 0.9808417522 1.057520527  1.1145316252 1.1593048088 1.1946120499 1.2824111234 1.3419291816 1.3515752863 1.3810969946 1.4194552062 1.4442468743]
    3     	    19    	         3/19        	0.15789473684210525 	[0.4836374461 0.4870511076 0.5131833852 0.7903045709 0.7935373386 0.809774275  0.9442049327 1.0049324228 1.0467193988 1.1099784597 1.1408923591 1.2160820754 1.2690469806 1.2930818974 1.3220164863 1.3764797865 1.4170213353 1.4207654016 1.4352903403]
    3     	    20    	         3/20        	        0.15        	[0.4769515235 0.4793848455 0.5062757504 0.7694055215 0.7725080533 0.7946361123 0.9365695354 0.9845673154 0.9924764848 1.0964916748 1.1397801116 1.1838830707 1.2160925868 1.2496303231 1.3162098154 1.3653636739 1.3746279334 1.3970980944 1.4244690267 1.4435785471]
    3     	    22    	         3/22        	0.13636363636363635 	[0.4648901831 0.4658718269 0.4938432816 0.7379204532 0.7395759634 0.7579082343 0.9015269983 0.942164497  0.950502383  1.0594405963 1.095048487  1.125220662  1.1632967502 1.1992516313 1.2583671718 1.3068381766 1.3233079207 1.351923528  1.3904363104 1.4222491612 1.4251725379 1.4372432458]
    3     	    23    	         3/23        	0.13043478260869565 	[0.4592976126 0.4598865738 0.4884613712 0.7241793749 0.7251618675 0.740706208  0.8806477933 0.9229896443 0.9417387001 1.0363130215 1.0598595876 1.1105428527 1.1639144612 1.17219137   1.2091293081 1.2744979611 1.3140858568 1.3365861511 1.3556382035 1.3943003179 1.4237096931 1.4263805179 1.4377815519]
    3     	    25    	         3/25        	        0.12        	[0.4489446318 0.4491875185 0.4790546706 0.697322122  0.6978511148 0.7126399963 0.8528466571 0.8889426901 0.9009421936 1.0077207377 1.0270544089 1.0656410884 1.1168548979 1.1319826535 1.1618220405 1.2279139246 1.2731149851 1.2782089341 1.306204661  1.3524214923 1.3926091802 1.3967932146 1.4115302815 1.4291886682 1.4432072368]
    3     	    26    	         3/26        	0.11538461538461539 	[0.4442261993 0.4443877633 0.4748149779 0.6849558784 0.6854045517 0.700142222  0.8418697521 0.8732046975 0.8786943601 0.9993619333 1.0239287097 1.0315894052 1.0807791161 1.1173488991 1.1623046083 1.2079099072 1.2229967704 1.2549516984 1.3013758816 1.3388436583 1.3530428263 1.3755710248 1.4032217641 1.4270586745 1.4289348432 1.4390798774]
    3     	    28    	         3/28        	0.10714285714285714 	[0.435645757  0.4357125834 0.4670258994 0.6627639007 0.6629920983 0.6767079911 0.8165019157 0.8439593874 0.8478824446 0.973361574  0.9919901173 0.9949323601 1.0496395541 1.0844285902 1.1218097642 1.1650169993 1.1812208358 1.2133015865 1.2577947352 1.3001445359 1.3085303671 1.3309697491 1.3670418887 1.4014285801 1.4052028969 1.4177694323 1.4310359412 1.4431885145]
    3     	    29    	         3/29        	0.10344827586206896 	[0.4317375806 0.431779992  0.4634388573 0.6526137465 0.6527628392 0.6659689573 0.8039495984 0.830370656  0.8350396355 0.9574376458 0.9686667555 0.9886264603 1.0463777243 1.0676220108 1.0847791643 1.1497356284 1.1846162261 1.1909166243 1.2176358492 1.2714745823 1.3104563522 1.3145951856 1.3368559965 1.3705242414 1.4045608011 1.4075466765 1.4191857377 1.431529275  1.4431951996]
    3     	    31    	         3/31        	 0.0967741935483871 	[0.4245887798 0.424606719  0.4567929842 0.6338318921 0.63390789   0.646382725  0.7824172351 0.8050044225 0.8078589077 0.9338959058 0.9415812503 0.9563052642 1.0188047168 1.0411956513 1.0532605369 1.1178804426 1.1464235862 1.1549547944 1.1791203824 1.2325433743 1.271353025  1.2744465841 1.2987394103 1.3388999182 1.3623281099 1.3771732464 1.3947945844 1.4133600151 1.4308610641 1.4319509251 1.4407356569]
