Lambda1,Lambda2,Lambda3,Lambda4,Lambda5,Lambda6,Lambda7,Lambda8,Lambda9
-0.6628851292763772,-0.6628851292763762,2.6847333921064056,2.6847333921064065,3.620151737169968,3.620151737169969,-0.6628851292763772,-0.6628851292763762,2.6847333921064056
-0.6591270408805939,-0.6591270408805933,2.6784110620169646,2.678411062016966,3.622715978863626,3.622715978863626,-0.6591270408805939,-0.6591270408805933,2.6784110620169646
-0.6554894802076239,-0.6554894802076209,2.6723259089766738,2.672325908976676,3.625163571230947,3.625163571230948,-0.6554894802076239,-0.6554894802076209,2.6723259089766738
-0.6520321036629924,-0.6520321036629901,2.666572728003064,2.6665727280030658,3.6274593756599285,3.62745937565993,-0.6520321036629924,-0.6520321036629901,2.666572728003064
-0.6488120311805291,-0.6488120311805281,2.6612405443596145,2.661240544359615,3.6295714868209146,3.629571486820915,-0.6488120311805291,-0.6488120311805281,2.6612405443596145
-0.6458828332391852,-0.6458828332391835,2.6564114075468384,2.6564114075468384,3.6314714256923453,3.6314714256923457,-0.6458828332391852,-0.6458828332391835,2.6564114075468384
-0.6432935553824113,-0.6432935553824092,2.6521592862535384,2.652159286253539,3.6331342691288704,3.6331342691288713,-0.6432935553824113,-0.6432935553824092,2.6521592862535384
-0.6410878032872684,-0.6410878032872681,2.6485490725877847,2.648549072587787,3.63453873069948,3.6345387306994814,-0.6410878032872684,-0.6410878032872681,2.6485490725877847
-0.6393029115925006,-0.6393029115925004,2.6456357055818502,2.6456357055818502,3.6356672060106496,3.63566720601065,-0.6393029115925006,-0.6393029115925004,2.6456357055818502
-0.6379692188836655,-0.6379692188836652,2.643463425000747,2.643463425000747,3.6365057938829164,3.636505793882917,-0.6379692188836655,-0.6379692188836652,2.643463425000747
-0.6371094693789066,-0.6371094693789061,2.642065166629369,2.642065166629369,3.637044302749536,3.6370443027495387,-0.6371094693789066,-0.6371094693789061,2.642065166629369
-0.6367383589657966,-0.6367383589657961,2.6414621093578563,2.6414621093578585,3.637276249607937,3.637276249607939,-0.6367383589657966,-0.6367383589657961,2.6414621093578563
-0.636862239397642,-0.6368622393976404,2.641663382556266,2.641663382556268,3.6371988568413713,3.637198856841375,-0.636862239397642,-0.6368622393976404,2.641663382556266
-0.6374789898386242,-0.6374789898386224,2.6426659395766583,2.6426659395766583,3.636813050261964,3.6368130502619658,-0.6374789898386242,-0.6374789898386224,2.6426659395766583
-0.6385780597952183,-0.6385780597952172,2.6444545999926357,2.6444545999926365,3.6361234598025813,3.6361234598025822,-0.6385780597952183,-0.6385780597952172,2.6444545999926357
